date,volume,open,close,high,low,symbol,divPaymentDate,divRecordDate,divDeclaredDate,dividend,ratio_adj,split_factor,volume_adj,open_adj,close_adj,high_adj,low_adj,dollar_volume
2006-02-03,1080700.0,24.1,24.5,24.8,23.85,DBC,,,,,1,1.0,1080700.0,24.1,24.5,24.8,23.85,26477150.0
2006-02-06,771500.0,24.55,24.2,24.66,24.1,DBC,,,,,1,1.0,771500.0,24.55,24.2,24.66,24.1,18670300.0
2006-02-07,674400.0,24.05,23.5,24.2,23.45,DBC,,,,,1,1.0,674400.0,24.05,23.5,24.2,23.45,15848400.0
2006-02-08,335400.0,23.49,23.4,23.67,23.33,DBC,,,,,1,1.0,335400.0,23.49,23.4,23.67,23.33,7848359.999999999
2006-02-09,694000.0,23.56,23.62,23.82,23.51,DBC,,,,,1,1.0,694000.0,23.56,23.62,23.82,23.51,16392280.0
2006-02-10,276700.0,23.65,23.1899,23.69,23.1,DBC,,,,,1,1.0,276700.0,23.65,23.1899,23.69,23.1,6416645.33
2006-02-13,237600.0,23.19,22.83,23.2,22.77,DBC,,,,,1,1.0,237600.0,23.19,22.83,23.2,22.77,5424408.0
2006-02-14,256400.0,22.8,22.64,22.83,22.61,DBC,,,,,1,1.0,256400.0,22.8,22.64,22.83,22.61,5804896.0
2006-02-15,404800.0,22.7,22.31,22.73,22.24,DBC,,,,,1,1.0,404800.0,22.7,22.31,22.73,22.24,9031088.0
2006-02-16,463600.0,22.33,22.58,22.62,22.25,DBC,,,,,1,1.0,463600.0,22.33,22.58,22.62,22.25,10468088.0
2006-02-17,467700.0,22.72,22.9,22.92,22.68,DBC,,,,,1,1.0,467700.0,22.72,22.9,22.92,22.68,10710330.0
2006-02-21,714100.0,23.35,23.28,23.4,23.1,DBC,,,,,1,1.0,714100.0,23.35,23.28,23.4,23.1,16624248.0
2006-02-22,543900.0,23.15,22.9,23.3,22.85,DBC,,,,,1,1.0,543900.0,23.15,22.9,23.3,22.85,12455310.0
2006-02-23,380400.0,22.85,22.82,23.1,22.644,DBC,,,,,1,1.0,380400.0,22.85,22.82,23.1,22.644,8680728.0
2006-02-24,535300.0,23.2,23.44,23.45,23.0,DBC,,,,,1,1.0,535300.0,23.2,23.44,23.45,23.0,12547432.0
2006-02-27,664500.0,23.2,22.98,23.25,22.92,DBC,,,,,1,1.0,664500.0,23.2,22.98,23.25,22.92,15270210.0
2006-02-28,579700.0,23.05,23.29,23.3,22.86,DBC,,,,,1,1.0,579700.0,23.05,23.29,23.3,22.86,13501213.0
2006-03-01,270500.0,23.28,23.24,23.28,23.05,DBC,,,,,1,1.0,270500.0,23.28,23.24,23.28,23.05,6286420.0
2006-03-02,885900.0,23.36,23.66,23.72,23.27,DBC,,,,,1,1.0,885900.0,23.36,23.66,23.72,23.27,20960394.0
2006-03-03,362900.0,23.77,23.88,23.89,23.56,DBC,,,,,1,1.0,362900.0,23.77,23.88,23.89,23.56,8666052.0
2006-03-06,588300.0,23.75,23.5,23.75,23.25,DBC,,,,,1,1.0,588300.0,23.75,23.5,23.75,23.25,13825050.0
2006-03-07,341300.0,23.29,23.09,23.34,22.97,DBC,,,,,1,1.0,341300.0,23.29,23.09,23.34,22.97,7880617.0
2006-03-08,243700.0,22.78,22.72,22.9,22.53,DBC,,,,,1,1.0,243700.0,22.78,22.72,22.9,22.53,5536864.0
2006-03-09,413100.0,22.85,22.95,22.99,22.7301,DBC,,,,,1,1.0,413100.0,22.85,22.95,22.99,22.7301,9480645.0
2006-03-10,398800.0,22.73,22.85,22.94,22.53,DBC,,,,,1,1.0,398800.0,22.73,22.85,22.94,22.53,9112580.0
2006-03-13,328800.0,22.85,23.15,23.16,22.69,DBC,,,,,1,1.0,328800.0,22.85,23.15,23.16,22.69,7611719.999999999
2006-03-14,331700.0,23.14,23.49,23.53,23.08,DBC,,,,,1,1.0,331700.0,23.14,23.49,23.53,23.08,7791632.999999999
